icd10_start,icd10_end,ghe_id,note
A00,A00,110,
A00,B99,10,group-level fallback (unspecified within group)
A01,A01,110,
A02,A02,370,minus B94.1
A03,A03,110,
A04,A04,110,
A05,A05,370,minus B94.1
A06,A09,110,
A15,A19,30,
A20,A28,370,minus B94.1
A30,A30,365,
A31,A31,370,minus B94.1
A32,A32,370,minus B94.1
A33,A35,160,
A36,A36,140,
A37,A37,130,
A38,A38,370,minus B94.1
A39,A39,170,
A40,A49,370,minus B94.1
A50,A53,50,
A54,A54,70,
A55,A56,60,
A57,A58,90,
A59,A59,80,
A60,A60,85,
A63,A64,90,
A65,A70,370,minus B94.1
A71,A71,310,
A74,A79,370,minus B94.1
A80,A81,370,minus B94.1
A82,A82,320,
A83,A86,180,
A87,A89,370,minus B94.1
A90,A91,300,
A92,A99,370,minus B94.1
A95,A95,315,
B00,B04,370,minus B94.1
B05,B05,150,
B06,B09,370,minus B94.1
B15,B15,186,
B16,B19,190,"minus B17.1, B17.2, B18.2, B18.8"
B171,B171,200,
B172,B172,205,
B178,B178,370,minus B94.1
B182,B182,200,
B188,B188,205,
B20,B24,102,minus B20.0
B200,B200,101,
B25,B49,370,minus B94.1
B50,B54,220,
B55,B55,260,
B56,B56,230,
B57,B57,240,
B58,B60,370,minus B94.1
B64,B64,370,minus B94.1
B65,B65,250,
B66,B66,370,minus B94.1
B67,B67,295,
B68,B68,370,minus B94.1
B69,B69,285,
B70,B72,370,minus B94.1
B73,B73,280,
B740,B742,270,
B743,B749,370,minus B94.1
B75,B75,370,minus B94.1
B76,B76,360,
B77,B77,340,
B78,B78,362,
B79,B79,350,
B80,B80,362,
B81,B81,362,
B82,B89,370,minus B94.1
B90,B90,30,
B91,B99,370,minus B94.1
B941,B941,180,
C00,C08,621,
C00,C97,600,group-level fallback (unspecified within group)
C09,C10,623,
C11,C11,622,
C12,C14,623,
C15,C15,630,
C16,C16,640,
C17,C17,780,
C18,C21,650,
C22,C22,660,
C23,C24,752,
C25,C25,670,
C26,C31,780,
C32,C32,753,
C33,C34,680,
C37,C41,780,
C43,C43,691,
C44,C44,692,
C45,C45,755,
C46,C49,780,
C50,C50,700,
C51,C51,780,
C52,C52,780,
C53,C53,710,
C54,C54,720,
C56,C56,730,
C57,C60,780,
C61,C61,740,
C62,C62,742,
C63,C63,780,
C64,C66,745,
C67,C67,750,
C68,C68,780,
C69,C69,780,
C70,C72,751,
C73,C73,754,
C74,C75,780,
C77,C79,780,
C81,C81,761,
C82,C86,762,
C88,C88,763,
C90,C90,763,
C91,C95,770,
C96,C96,762,
D00,D48,600,group-level fallback (unspecified within group)
D00,D48,790,
D50,D50,580,
D50,D53,10,group-level fallback (unspecified within group)
D51,D53,590,
D55,D55,813,
D55,D64,600,group-level fallback (unspecified within group)
D56,D56,811,
D57,D57,812,
D58,D59,813,
D60,D64,814,minus D64.9
D649,D649,10,group-level fallback (unspecified within group)
D649,D649,580,
D65,D89,600,group-level fallback (unspecified within group)
D65,D89,814,minus D64.9
E00,E02,10,group-level fallback (unspecified within group)
E00,E02,560,
E03,E07,600,group-level fallback (unspecified within group)
E03,E07,814,minus D64.9
