mdb_code,iso3
1125,EGY
1300,MUS
1310,MAR
1430,ZAF
1520,TUN
2010,ATG
2020,ARG
2030,BHS
2045,BLZ
2070,BRA
2090,CAN
2120,CHL
2130,COL
2140,CRI
2150,CUB
2170,DOM
2180,ECU
2190,SLV
2230,GRD
2250,GTM
2260,GUY
2290,JAM
2310,MEX
2340,NIC
2350,PAN
2360,PRY
2370,PER
2380,PRI
2400,LCA
2420,VCT
2440,TTO
2450,USA
2460,URY
2470,VEN
3030,BRN
3080,CYP
3130,IRN
3140,IRQ
3150,ISR
3160,JPN
3170,JOR
3190,KWT
3210,LBN
3236,MYS
3255,MDV
3260,MNG
3285,OMN
3300,PHL
3320,QAT
3325,KOR
3340,SAU
3350,SGP
3365,LKA
3380,THA
3400,TUR
3405,ARE
4007,ARM
4010,AUT
4020,BEL
4025,BIH
4030,BGR
4038,HRV
4045,CZE
4050,DNK
4055,EST
4070,FIN
4080,FRA
4084,GEO
4085,DEU
4140,GRC
4150,HUN
4160,ISL
4170,IRL
4180,ITA
4182,KAZ
4184,KGZ
4186,LVA
4188,LTU
4190,LUX
4195,MKD
4200,MLT
4207,MNE
4210,NLD
4220,NOR
4230,POL
4240,PRT
4260,MDA
4270,ROU
4273,SRB
4274,SVK
4276,SVN
4280,ESP
4290,SWE
4300,CHE
4301,TJK
4308,GBR
4335,UZB
5020,AUS
5070,FJI
5108,FSM
5150,NZL
